DATE,TIME GPS,,X,Y,H,Distance,Vitesse 3D,velocity_md
30/06/2022,12:07,30/06/2022 12:07,1104558.28,2628867.93,2866.45,4.992506725,11.9,0.118846181
15/07/2022,13:14,15/07/2022 13:14,1104558.39,2628867.84,2866.34,5.175550908,12.2,0.121655317
31/07/2022,12:29,31/07/2022 12:29,1104558.66,2628866.88,2865.28,6.519432473,84.2,0.841569669
15/08/2022,12:41,15/08/2022 12:41,1104558.71,2628866.75,2865.09,6.736169224,14.4,0.144405212
31/08/2022,14:09,31/08/2022 14:09,1104558.76,2628866.63,2864.95,6.925902185,11.8,0.118133276
15/09/2022,12:29,15/09/2022 12:29,1104558.8,2628866.53,2864.87,7.0564732,8.7,0.087454608
01/10/2022,12:29,01/10/2022 12:29,1104558.84,2628866.47,2864.78,7.166365877,6.9,0.068682923
15/10/2022,12:56,15/10/2022 12:56,1104558.88,2628866.38,2864.7,7.293374552,9.1,0.090597388
31/10/2022,13:09,31/10/2022 13:09,1104558.93,2628866.28,2864.62,7.426145536,8.3,0.082933208
15/11/2022,12:26,15/11/2022 12:26,1104558.97,2628866.24,2864.58,7.495867012,4.7,0.046575075
30/11/2022,12:04,30/11/2022 12:04,1104559.01,2628866.21,2864.54,7.55858666,4.2,0.041854873
15/12/2022,12:15,15/12/2022 12:15,1104559.05,2628866.18,2864.52,7.610909431,3.5,0.034864659
01/01/2023,12:51,01/01/2023 12:51,1104559.09,2628866.16,2864.49,7.657353367,2.7,0.027280056
15/01/2023,12:45,15/01/2023 12:45,1104559.11,2628866.13,2864.45,7.711723853,3.9,0.038847258
01/02/2023,12:29,01/02/2023 12:29,1104559.14,2628866.11,2864.44,7.747873099,2.1,0.021278486
15/02/2023,12:25,15/02/2023 12:25,1104559.17,2628866.09,2864.42,7.784501423,2.6,0.026168167
01/03/2023,12:29,01/03/2023 12:29,1104559.19,2628866.08,2864.4,7.81290634,2,0.020285289
15/03/2023,14:29,15/03/2023 14:29,1104559.2,2628866.06,2864.37,7.847267429,2.4,0.024398406
01/04/2023,12:29,01/04/2023 12:29,1104559.23,2628866.05,2864.36,7.878204294,1.8,0.018287802
15/04/2023,12:29,15/04/2023 12:29,1104559.25,2628866.03,2864.35,7.902591222,1.7,0.017419234
01/05/2023,12:56,01/05/2023 12:56,1104559.26,2628866.03,2864.31,7.927020108,1.5,0.015249924
15/05/2023,11:45,15/05/2023 11:45,1104559.27,2628866,2864.31,7.958497839,2.3,0.02256359
01/06/2023,12:29,01/06/2023 12:29,1104559.29,2628865.98,2864.29,7.995294333,2.2,0.021606482
15/06/2023,12:29,15/06/2023 12:29,1104559.32,2628865.95,2864.26,8.044585827,3.5,0.03520821
01/07/2023,12:29,01/07/2023 12:29,1104559.34,2628865.91,2864.22,8.103202679,3.7,0.036635533
15/07/2023,12:30,15/07/2023 12:30,1104559.37,2628865.87,2864.18,8.166410239,4.5,0.045145336
31/07/2023,12:29,31/07/2023 12:29,1104559.41,2628865.8,2864.09,8.280700283,7.1,0.071435322
15/08/2023,12:50,15/08/2023 12:50,1104559.44,2628865.75,2864.04,8.367633708,5.8,0.057898178
31/08/2023,12:39,31/08/2023 12:39,1104559.49,2628865.47,2863.79,8.715760223,21.8,0.217678458
15/09/2023,00:49,15/09/2023 00:49,1104559.51,2628865.27,2863.58,8.977922989,18.1,0.18071867
